Month,Labor Force(000's),Employment(000's),Emp/PopRatio (%),Unemployed(000's),Unemp Rate(%),LFPART(%)
Aug-05,"3,812.8","3,591.7",55.9,221.1,5.8,59.4
Sep-05,"3,817.9","3,594.3",55.9,223.6,5.9,59.4
Oct-05,"3,819.7","3,596.1",55.9,223.6,5.9,59.4
Nov-05,"3,818.6","3,597.7",55.9,220.9,5.8,59.3
Dec-05,"3,815.4","3,599.5",55.9,215.9,5.7,59.2
Jan-06,"3,812.4","3,602.3",55.9,210.1,5.5,59.1
Feb-06,"3,811.1","3,606.1",55.9,205.1,5.4,59.1
Mar-06,"3,812.0","3,610.2",55.9,201.8,5.3,59.1
Apr-06,"3,813.8","3,613.8",56.0,200.0,5.2,59.1
May-06,"3,814.5","3,616.7",56.0,197.8,5.2,59.0
Jun-06,"3,813.4","3,619.3",56.0,194.1,5.1,59.0
Jul-06,"3,810.9","3,622.2",56.0,188.6,4.9,58.9
Aug-06,"3,809.0","3,626.0",56.0,183.0,4.8,58.8
Sep-06,"3,809.7","3,630.9",56.0,178.8,4.7,58.8
Oct-06,"3,813.3","3,636.9",56.1,176.5,4.6,58.8
Nov-06,"3,819.0","3,643.0",56.1,176.0,4.6,58.8
Dec-06,"3,824.9","3,647.9",56.1,177.0,4.6,58.9
Jan-07,"3,830.1","3,650.9",56.1,179.2,4.7,58.9
Feb-07,"3,834.4","3,652.0",56.1,182.4,4.8,58.9
Mar-07,"3,838.2","3,651.9",56.1,186.3,4.9,58.9
Apr-07,"3,842.0","3,651.2",56.0,190.8,5.0,58.9
May-07,"3,846.3","3,650.7",56.0,195.6,5.1,59.0
Jun-07,"3,851.1","3,651.3",55.9,199.8,5.2,59.0
Jul-07,"3,855.9","3,653.4",55.9,202.5,5.3,59.0
Aug-07,"3,860.8","3,657.1",55.9,203.7,5.3,59.1
Sep-07,"3,866.0","3,662.5",56.0,203.5,5.3,59.1
Oct-07,"3,871.9","3,668.9",56.1,203.0,5.2,59.2
Nov-07,"3,878.3","3,675.7",56.1,202.6,5.2,59.2
Dec-07,"3,884.4","3,682.3",56.2,202.2,5.2,59.3
Jan-08,"3,889.5","3,687.8",56.3,201.8,5.2,59.3
Feb-08,"3,892.9","3,691.9",56.3,201.0,5.2,59.4
Mar-08,"3,895.0","3,694.7",56.3,200.4,5.1,59.4
Apr-08,"3,897.6","3,696.6",56.3,201.0,5.2,59.4
May-08,"3,901.7","3,698.0",56.3,203.8,5.2,59.4
Jun-08,"3,907.9","3,699.0",56.3,208.9,5.3,59.5
Jul-08,"3,915.7","3,699.5",56.3,216.2,5.5,59.6
Aug-08,"3,923.8","3,698.8",56.2,225.0,5.7,59.7
Sep-08,"3,931.0","3,695.3",56.2,235.7,6.0,59.7
Oct-08,"3,937.2","3,688.1",56.0,249.1,6.3,59.8
Nov-08,"3,941.9","3,676.5",55.8,265.4,6.7,59.9
Dec-08,"3,945.2","3,661.1",55.6,284.1,7.2,59.9
Jan-09,"3,947.1","3,643.1",55.3,304.1,7.7,59.9
Feb-09,"3,948.9","3,624.9",55.0,324.0,8.2,59.9
Mar-09,"3,951.9","3,609.6",54.7,342.3,8.7,59.9
Apr-09,"3,956.0","3,598.3",54.5,357.8,9.0,59.9
May-09,"3,960.8","3,590.3",54.4,370.5,9.4,60.0
Jun-09,"3,965.1","3,584.0",54.2,381.1,9.6,60.0
Jul-09,"3,967.3","3,577.6",54.1,389.7,9.8,60.0
Aug-09,"3,966.6","3,570.3",54.0,396.3,10.0,60.0
Sep-09,"3,962.9","3,562.4",53.8,400.5,10.1,59.9
Oct-09,"3,957.2","3,555.3",53.7,401.9,10.2,59.8
Nov-09,"3,951.9","3,550.7",53.6,401.3,10.2,59.7
Dec-09,"3,949.8","3,550.1",53.6,399.7,10.1,59.6
Jan-10,"3,951.2","3,553.8",53.6,397.3,10.1,59.6
Feb-10,"3,954.3","3,560.2",53.7,394.1,10.0,59.6
Mar-10,"3,956.5","3,566.4",53.8,390.1,9.9,59.6
Apr-10,"3,956.1","3,570.8",54.6,385.3,9.7,60.4
May-10,"3,952.7","3,572.8",54.5,379.8,9.6,60.3
Jun-10,"3,947.0","3,572.5",54.5,374.4,9.5,60.2
Jul-10,"3,940.8","3,570.6",54.4,370.1,9.4,60.1
Aug-10,"3,935.9","3,568.7",54.3,367.3,9.3,59.9
Sep-10,"3,933.4","3,568.0",54.3,365.4,9.3,59.8
Oct-10,"3,933.0","3,569.7",54.3,363.3,9.2,59.8
Nov-10,"3,933.9","3,573.8",54.3,360.1,9.2,59.7
Dec-10,"3,935.0","3,579.1",54.3,355.9,9.0,59.7
Jan-11,"3,938.5","3,587.2",54.4,351.3,8.9,59.7
Feb-11,"3,939.9","3,591.9",54.4,348.0,8.8,59.6
Mar-11,"3,941.8","3,595.5",54.4,346.3,8.8,59.6
Apr-11,"3,944.7","3,598.1",54.4,346.6,8.8,59.6
May-11,"3,949.6","3,600.6",54.3,349.0,8.8,59.6
Jun-11,"3,956.8","3,603.7",54.3,353.1,8.9,59.7
Jul-11,"3,966.0","3,608.0",54.3,358.0,9.0,59.7
Aug-11,"3,976.2","3,612.7",54.4,363.4,9.1,59.8
Sep-11,"3,986.1","3,617.4",54.4,368.7,9.2,59.9
Oct-11,"3,995.3","3,621.6",54.4,373.7,9.4,60.0
Nov-11,"4,003.5","3,625.6",54.4,377.9,9.4,60.1
Dec-11,"4,010.4","3,629.6",54.4,380.8,9.5,60.2
Jan-12,"4,010.3","3,627.7",54.4,382.6,9.5,60.1
Feb-12,"4,015.7","3,632.2",54.4,383.5,9.5,60.1
Mar-12,"4,020.7","3,636.5",54.4,384.2,9.6,60.2
Apr-12,"4,024.5","3,640.1",54.4,384.4,9.6,60.2
May-12,"4,027.1","3,643.7",54.4,383.3,9.5,60.1
Jun-12,"4,028.2","3,647.9",54.4,380.3,9.4,60.1
Jul-12,"4,028.1","3,652.9",54.5,375.3,9.3,60.1
Aug-12,"4,028.2","3,658.5",54.5,369.7,9.2,60.0
Sep-12,"4,029.4","3,664.2",54.6,365.2,9.1,60.0
Oct-12,"4,031.1","3,669.0",54.6,362.1,9.0,60.0
Nov-12,"4,033.0","3,672.5",54.6,360.4,8.9,60.0
Dec-12,"4,034.6","3,675.3",54.6,359.2,8.9,60.0
Jan-13,"4,035.8","3,677.9",54.6,357.8,8.9,59.9
Feb-13,"4,037.5","3,681.6",54.6,355.9,8.8,59.9
Mar-13,"4,040.9","3,687.1",54.7,353.8,8.8,59.9
Apr-13,"4,047.0","3,694.3",54.8,352.7,8.7,60.0
May-13,"4,055.2","3,701.6",54.8,353.6,8.7,60.1
Jun-13,"4,064.7","3,708.2",54.9,356.5,8.8,60.2
Jul-13,"4,073.9","3,714.2",55.0,359.8,8.8,60.3
Aug-13,"4,080.1","3,719.8",55.0,360.3,8.8,60.3
Sep-13,"4,082.4","3,725.6",55.1,356.8,8.7,60.3
Oct-13,"4,082.5","3,732.2",55.1,350.3,8.6,60.3
Nov-13,"4,082.1","3,739.6",55.2,342.6,8.4,60.3
Dec-13,"4,082.2","3,747.2",55.3,335.0,8.2,60.2
Jan-14,"4,083.2","3,754.8",55.4,328.4,8.0,60.2
Feb-14,"4,085.1","3,762.1",55.4,323.0,7.9,60.2
Mar-14,"4,087.7","3,769.1",55.5,318.5,7.8,60.2
Apr-14,"4,090.0","3,776.2",55.6,313.8,7.7,60.2
May-14,"4,091.1","3,783.7",55.7,307.3,7.5,60.2
Jun-14,"4,091.4","3,792.0",55.8,299.4,7.3,60.2
Jul-14,"4,091.7","3,800.6",55.9,291.1,7.1,60.1
Aug-14,"4,093.2","3,809.2",56.0,284.1,6.9,60.1
Sep-14,"4,096.2","3,817.5",56.1,278.7,6.8,60.1
Oct-14,"4,099.5","3,825.1",56.1,274.4,6.7,60.2
Nov-14,"4,102.4","3,831.9",56.2,270.4,6.6,60.2
Dec-14,"4,104.8","3,837.9",56.3,266.9,6.5,60.2
Jan-15,"4,106.3","3,843.1",56.3,263.2,6.4,60.2
Feb-15,"4,106.8","3,847.8",56.4,259.0,6.3,60.2
Mar-15,"4,106.1","3,852.6",56.4,253.5,6.2,60.1
Apr-15,"4,104.2","3,857.4",56.5,246.8,6.0,60.1
May-15,"4,101.2","3,862.1",56.5,239.1,5.8,60.0
Jun-15,"4,097.3","3,866.4",56.5,231.0,5.6,59.9
Jul-15,"4,094.1","3,870.4",56.6,223.7,5.5,59.8
Aug-15,"4,093.2","3,874.5",56.6,218.7,5.3,59.8
Sep-15,"4,095.4","3,878.9",56.7,216.4,5.3,59.8
Oct-15,"4,100.5","3,884.0",56.7,216.5,5.3,59.9
Nov-15,"4,107.5","3,889.5",56.8,218.1,5.3,60.0
Dec-15,"4,114.1","3,894.8",56.9,219.3,5.3,60.1
Jan-16,"4,118.2","3,899.2",56.9,219.0,5.3,60.1
Feb-16,"4,119.4","3,902.0",56.9,217.4,5.3,60.1
Mar-16,"4,118.5","3,903.1",56.9,215.4,5.2,60.1
Apr-16,"4,118.0","3,903.4",56.9,214.6,5.2,60.0
May-16,"4,119.9","3,903.9",56.9,216.0,5.2,60.1
Jun-16,"4,124.0","3,904.9",56.9,219.1,5.3,60.1
Jul-16,"4,128.2","3,906.7",56.9,221.4,5.4,60.1
Aug-16,"4,130.2","3,908.7",56.9,221.5,5.4,60.2
Sep-16,"4,129.1","3,910.3",56.9,218.8,5.3,60.1
Oct-16,"4,125.1","3,911.3",56.9,213.8,5.2,60.0
Nov-16,"4,119.7","3,911.8",56.9,207.9,5.0,59.9
Dec-16,"4,113.1","3,911.9",56.9,201.1,4.9,59.8
Jan-17,"4,119.0","3,932.5",57.2,186.5,4.5,59.9
Feb-17,"4,140.9","3,964.4",57.6,176.5,4.3,60.2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
